,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aech|LOC105144162,5933.9020807,4.01682442556,0.181734995429,-22.1026468572,2.98072236403e-108,3.17238281203e-104
Aech|LOC105148307,351.575221801,3.92763481952,0.21789368089,-18.0254645453,1.22974825127e-72,6.54410531911e-69
Aech|LOC105149897,84.0065639386,6.54098653507,0.414532565228,-15.7791862057,4.32731242605e-56,1.53518620502e-52
Aech|LOC105152929,85.2732735083,5.54242518017,0.364528886638,-15.2043511045,3.30893246562e-52,8.80424205789e-49
Aech|LOC105151872,1400.52939676,4.21616920858,0.31719724626,-13.2919477022,2.57779646474e-40,5.48709755485e-37
Aech|LOC105149038,322.855255679,4.4020400335,0.336870863496,-13.0674407036,5.05373426832e-39,8.96448230296e-36
Aech|LOC105146350,231.019655632,3.56040250185,0.276564242886,-12.8736906286,6.33035183284e-38,9.62484779384e-35
Aech|LOC105145138,43.2770079878,5.41173600923,0.443558242356,-12.2007337311,3.0803565875e-34,4.0980293951e-31
Aech|LOC105154186,2897.4874873,2.62097701068,0.215198440495,-12.179349463,4.0046327201e-34,4.73570067111e-31
Aech|LOC105151642,724.63219491,4.56368690016,0.376952109191,-12.1068082361,9.72034577501e-34,1.03453640083e-30
Aech|LOC105147411,1384.28224772,2.05508496981,0.169912613313,-12.0949523979,1.12307334052e-33,1.08662450574e-30
Aech|LOC105149497,410.502935482,2.51878071086,0.215984038255,-11.6618835874,1.99577800988e-31,1.77008877993e-28
Aech|LOC105147659,51.7723412499,3.56714258521,0.31266077206,-11.4089866846,3.77096596764e-30,3.08726083027e-27
Aech|LOC105144331,630.350738673,3.51115153811,0.310594311673,-11.3046228026,1.24487940888e-29,9.46375110622e-27
Aech|LOC105150113,3183.22362113,3.29532312127,0.293357014875,-11.2331492147,2.80306310982e-29,1.98886671185e-26
Aech|LOC105144225,446.874457183,2.89428587784,0.25788927787,-11.2229787207,3.14495544412e-29,2.09198504948e-26
Aech|LOC105153243,77.6704502312,3.62874548863,0.324786045176,-11.1727259916,5.54524720525e-29,3.4716509415e-26
Aech|LOC105147032,347.218299975,3.60431125968,0.327057217193,-11.0204302801,3.04599544121e-28,1.8010294156e-25
Aech|LOC105148706,2093.54862952,3.47766776038,0.317037488063,-10.9692635455,5.37080546894e-28,2.96753548849e-25
Aech|LOC105152409,780.804216923,-2.48156729612,0.226299284237,10.9658645386,5.57650190453e-28,2.96753548849e-25
Aech|LOC105150625,12339.8678248,2.8146411868,0.258015434287,-10.9088093687,1.04617534911e-27,5.30211630502e-25
Aech|LOC105144299,4987.43584203,3.84199082462,0.359046488457,-10.7005386437,1.01188283556e-26,4.89521319038e-24
Aech|LOC105154606,26.8094933357,5.00419971909,0.468202733223,-10.6881044556,1.15711656283e-26,5.35443112098e-24
Aech|LOC105150491,261384.378238,4.16002025338,0.395150272007,-10.5276917367,6.43941488789e-26,2.85561219382e-23
Aech|LOC105145228,6411.97500771,3.12629961007,0.297295749206,-10.51578981,7.30660163405e-26,3.11056644765e-23
Aech|LOC105147983,1123.62811034,2.39819836338,0.229937577753,-10.4297800595,1.81307477873e-25,7.4217518731e-23
Aech|LOC105145250,138.546703985,2.60626617038,0.253744794938,-10.2712103751,9.50051222993e-25,3.74496117271e-22
Aech|LOC105143176,443.677403941,2.03793304134,0.199517637481,-10.2143001845,1.71109366181e-24,6.50398922951e-22
Aech|LOC105148313,1680.56244583,3.19077587385,0.314173603114,-10.1560915437,3.11306870511e-24,1.14249621477e-21
Aech|LOC105153830,3379.58668388,2.85810240177,0.285834735798,-9.99914301455,1.53721559416e-23,5.45352852287e-21
Aech|LOC105151253,947.692498164,4.17584046212,0.421700530659,-9.90238370246,4.06469395717e-23,1.39550121891e-20
Aech|LOC105150852,3933.70593033,3.13395614632,0.317526096218,-9.86991678367,5.62112246634e-23,1.86955020029e-20
Aech|LOC105153952,154.004912296,3.3187436783,0.337000515844,-9.8478890158,6.99986963281e-23,2.25756401521e-20
Aech|LOC105145139,437.737255524,4.33216987577,0.440578410068,-9.83291458857,8.12331006978e-23,2.54283497273e-20
Aech|LOC105147903,655.982732905,2.93238110694,0.301775474169,-9.71709551618,2.5495001326e-22,7.75266568893e-20
Aech|LOC105145159,259.28735708,4.16327919849,0.429251190819,-9.69893453421,3.04663400748e-22,9.00703492821e-20
Aech|LOC105143525,172.379871883,1.97165937276,0.206119529013,-9.56561167302,1.11539935352e-21,3.20843116745e-19
Aech|LOC105153820,835.712351883,1.8030072661,0.189467047715,-9.5162049963,1.79618955472e-21,5.03074879761e-19
Aech|LOC105143935,4562.08521505,3.56250196475,0.376935586757,-9.45122214487,3.34897322548e-21,9.13926206124e-19
Aech|LOC105149146,827.281988397,3.45960568205,0.371711343399,-9.30723730519,1.31200516774e-20,3.49091775005e-18
Aech|LOC105145352,676.993939995,2.28194217003,0.245753323721,-9.28549870856,1.609516454e-20,4.17806917558e-18
Aech|LOC105144442,1641.62399669,2.25558054238,0.24300230681,-9.28213633849,1.66113922293e-20,4.20940589276e-18
Aech|LOC105145778,1475.11684563,1.86875378365,0.201849443275,-9.25815673966,2.07991666069e-20,5.14803558599e-18
Aech|LOC105154904,159592.83029,2.96417842382,0.321046008477,-9.23287736196,2.63457651018e-20,6.37268131769e-18
Aech|LOC105146714,190.425371313,2.48028819002,0.269399997646,-9.2067119959,3.36267423083e-20,7.95309818639e-18
Aech|LOC105149353,1192.19451286,-1.39200202145,0.151623253627,9.18066317769,4.28444578806e-20,9.91290359181e-18
Aech|LOC105154687,15694.2271262,2.63687635506,0.288392248665,-9.14336764344,6.05371704702e-20,1.37084490492e-17
Aech|LOC105154581,2808.13574218,1.90627587411,0.2107345269,-9.04586401741,1.48486177964e-19,3.29237165015e-17
Aech|LOC105146601,71.8377647332,-3.71436668301,0.411719347763,9.0215985797,1.85364339367e-19,4.02618910996e-17
Aech|LOC105152301,148.461320856,3.16017743301,0.352045434987,-8.97661812635,2.79216970934e-19,5.94341244329e-17
Aech|LOC105150434,844.68286177,4.43780635167,0.495209267189,-8.96147678508,3.20358653786e-19,6.68544539656e-17
Aech|LOC105150839,1770.23382418,1.82265710036,0.203763407807,-8.9449676955,3.72058560709e-19,7.61503704159e-17
Aech|LOC105150087,3159.56814933,2.50636199231,0.282155941055,-8.88289639743,6.51416264608e-19,1.30811760457e-16
Aech|LOC105145878,358.343820597,2.63171232066,0.304738991727,-8.63595533263,5.82382660315e-18,1.14783308403e-15
Aech|LOC105147893,504.664598579,1.26858042153,0.147216377645,-8.61711476551,6.86623055918e-18,1.30495164002e-15
Aech|LOC105152599,10430.1517312,1.41511644253,0.16422112177,-8.6171402757,6.86470155004e-18,1.30495164002e-15
Aech|LOC105153975,595.293416451,1.13152458834,0.131737546783,-8.58923379071,8.75512075928e-18,1.63475000423e-15
Aech|LOC105144037,82.7394612287,2.08497436768,0.245501155409,-8.49272731205,2.01843506274e-17,3.70382834012e-15
Aech|LOC105150322,129.642224218,1.89850693176,0.2236445337,-8.48894851283,2.08515071488e-17,3.76139984042e-15
Aech|LOC105149674,322.847689728,2.60687368465,0.307786572766,-8.4697446715,2.4593151749e-17,4.36241523442e-15
Aech|LOC105151255,153.975087943,3.70241159559,0.437822776917,-8.45641613637,2.75720395784e-17,4.81064290545e-15
Aech|LOC105143220,360.940521811,2.55551632312,0.302361272423,-8.4518638999,2.86688680551e-17,4.92133488243e-15
Aech|LOC105144596,395.777143592,2.15939418546,0.255640943527,-8.44698097132,2.98932428995e-17,4.9711528778e-15
Aech|LOC105153849,2172.94469911,2.93302342491,0.347215545626,-8.4472698929,2.98193825214e-17,4.9711528778e-15
Aech|LOC105147033,6708.13804814,2.47637529504,0.294473367533,-8.40950513041,4.1174421922e-17,6.74183650024e-15
Aech|LOC105146733,1035.95850797,2.71364857472,0.326232536648,-8.31814203024,8.93529014174e-17,1.42585295089e-14
Aech|LOC105152324,305.963178836,1.21030140911,0.145510851877,-8.31760238841,8.97605446863e-17,1.42585295089e-14
Aech|LOC105143825,301.534857827,2.67345301407,0.324068238038,-8.24966072038,1.58844846767e-16,2.48615544727e-14
Aech|LOC105151790,287.110888848,1.57780425036,0.192232950108,-8.20777212998,2.25330333643e-16,3.47563875503e-14
Aech|LOC105144794,2424.61936439,3.22072429687,0.39399315538,-8.17456915911,2.96924973119e-16,4.51453212701e-14
Aech|LOC105149535,4550.68542406,2.01216118025,0.246210279538,-8.17253115519,3.01985680149e-16,4.52680787862e-14
Aech|LOC105146943,252.366590299,2.82723162825,0.346816613394,-8.15194981747,3.58102905251e-16,5.29345725081e-14
Aech|LOC105146683,104.811955492,2.7326963856,0.336357175912,-8.1243885408,4.49623284729e-16,6.55526112243e-14
Aech|LOC105146105,318.52871403,3.54713994865,0.436782583812,-8.12106544564,4.62108743447e-16,6.64624777907e-14
Aech|LOC105147062,2310.8140287,1.42050367228,0.175264562409,-8.10491095723,5.27841601442e-16,7.49042421886e-14
Aech|LOC105153193,397.048891924,4.23736892081,0.525465405853,-8.06403023607,7.38194886323e-16,1.03376423357e-13
Aech|LOC105149176,1490.31206234,1.94492763328,0.241769965808,-8.04453781832,8.65715235941e-16,1.19659834495e-13
Aech|LOC105151463,10033.8925921,2.89309422209,0.362844850973,-7.97336441273,1.54412003155e-15,2.10693198664e-13
Aech|LOC105149479,53.3057683545,2.40725059122,0.302339290888,-7.96208320842,1.69166647571e-15,2.27903877228e-13
Aech|LOC105147027,4127.44452748,2.05591296282,0.259091315215,-7.93509022528,2.10342354945e-15,2.76379467121e-13
Aech|LOC105148163,58.8831632818,2.80469600765,0.353442321181,-7.93537117536,2.09866727904e-15,2.76379467121e-13
Aech|LOC105146513,454.98886358,1.93618018275,0.244080075151,-7.93256140038,2.1467152205e-15,2.78627927949e-13
Aech|LOC105147701,3115.81199267,1.80232454815,0.22759513092,-7.91899431621,2.39439293128e-15,3.07030409248e-13
Aech|LOC105146617,1548.02738337,-0.974992979846,0.123174805969,7.91552275791,2.46216351396e-15,3.11961979513e-13
Aech|LOC105143625,4946.93926847,-1.32103629542,0.167392537862,7.89184698608,2.9774665768e-15,3.6961369517e-13
Aech|LOC105150379,593.863535303,-1.55327135406,0.196865309071,7.89002065111,3.02136535561e-15,3.6961369517e-13
Aech|LOC105154426,54.9663155184,2.89864721727,0.367357389366,-7.89053739268,3.00888043195e-15,3.6961369517e-13
Aech|LOC105144251,1387.48283102,2.55602887896,0.327313198154,-7.80912255716,5.75874822827e-15,6.96481334017e-13
Aech|LOC105147300,4928.16514103,-1.67061211711,0.214562179443,7.78614442421,6.90849765842e-15,8.26147646951e-13
Aech|LOC105149903,2117.20514416,-1.3217833899,0.169804930155,7.78412846253,7.0195405741e-15,8.30099670335e-13
Aech|LOC105153591,10627.0474162,2.52288211443,0.324318415444,-7.77902824599,7.30837446288e-15,8.54758564928e-13
Aech|LOC105148833,4945.0434618,-1.2010130739,0.154520161482,7.77253312691,7.69318761749e-15,8.89984737097e-13
Aech|LOC105149330,86.1526618685,-2.70772980978,0.348971206044,7.75917830147,8.54814021678e-15,9.78256519648e-13
Aech|LOC105150429,10449.8348591,2.57769643707,0.333086047601,-7.73883041826,1.0033550158e-14,1.13603270566e-12
Aech|LOC105151303,4196.11823308,-1.08831147557,0.140789339402,7.73007018995,1.07487302121e-14,1.20419721734e-12
Aech|LOC105150457,12014.1089245,4.06767771258,0.526320931082,-7.72851215365,1.08810797218e-14,1.20632636957e-12
Aech|LOC105145845,5701.7780339,-1.23319979328,0.159635201388,7.72511189609,1.11755130149e-14,1.22619572183e-12
Aech|LOC105148388,972.539266393,1.61466839242,0.210716105796,-7.66276686027,1.81969500509e-14,1.97622591216e-12
Aech|LOC105151712,15304.6660608,1.79857781372,0.234961383541,-7.6547804861,1.93642726605e-14,2.08175711036e-12
Aech|LOC105145011,875.24375641,-2.75361105706,0.361105284044,7.62550751466,2.43076150804e-14,2.57487701059e-12
