,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Dqua|LOC106751227,300.15382055,4.55771884762,0.378443870415,12.0433152812,2.10329650972e-33,2.13358397946e-29
Dqua|LOC106748522,92.9107965633,4.46793544886,0.375645796294,11.8940115741,1.27149443003e-32,6.44901974912e-29
Dqua|LOC106745803,4501.59277022,-1.89129985259,0.237467227557,-7.96446681106,1.65937709406e-15,4.83316034001e-12
Dqua|LOC106750236,340.535160891,-3.13766261267,0.394807389084,-7.94732494734,1.90582032335e-15,4.83316034001e-12
Dqua|LOC106748393,260.116158874,-2.1947975669,0.290329337745,-7.55968233849,4.04054912829e-14,8.19746607148e-11
Dqua|LOC106742409,407.693407199,2.73135169232,0.390412640692,6.9960636712,2.63253936464e-12,4.45074655248e-09
Dqua|LOC106750821,44.2068101214,2.75840042065,0.397565758813,6.9382243302,3.97058870887e-12,5.75395026611e-09
Dqua|LOC106751225,4038.86349113,2.60296064321,0.396922361103,6.55785840832,5.45859996242e-11,6.92150475235e-08
Dqua|LOC106749247,116.417847384,-2.16876275468,0.333192797991,-6.50903251137,7.56363533982e-11,8.52505743191e-08
Dqua|LOC106744681,21.6658256357,2.45279590989,0.383346166366,6.39838382405,1.57030152124e-10,1.59291386314e-07
Dqua|LOC106740552,1461.7119301,2.50789635447,0.393571618856,6.37214736612,1.86399645483e-10,1.7189436398e-07
Dqua|LOC106746974,153.232638839,-1.98566988755,0.324410157818,-6.12086224705,9.30703396297e-10,7.86754604336e-07
Dqua|LOC106743574,415.804034221,2.13828014403,0.350321005895,6.10377370483,1.03592930235e-09,8.08343603314e-07
Dqua|LOC106750234,750.784685078,1.89744449303,0.316263403719,5.9995702023,1.97840483086e-09,1.43349561459e-06
Dqua|LOC106747468,4344.34996431,-1.32495661416,0.222602052232,-5.95213117256,2.64673103543e-09,1.71795426822e-06
Dqua|LOC106750972,48.8645741599,2.36911280239,0.398285188778,5.94828245976,2.70970704767e-09,1.71795426822e-06
Dqua|LOC106750125,2132.55253168,-2.1885717528,0.37009511559,-5.91353860293,3.34835006747e-09,1.99798018144e-06
Dqua|LOC106751012,1311.97562509,2.24576877743,0.386924300829,5.80415541908,6.46912508806e-09,3.64571138296e-06
Dqua|LOC106751228,390.19474547,2.27242930652,0.397731817286,5.71347125816,1.1069457719e-08,5.86077127651e-06
Dqua|LOC106751465,145.79093833,1.97001925083,0.345244136933,5.70616279927,1.15551484158e-08,5.86077127651e-06
Dqua|LOC106742753,3984.31740364,-1.10962738665,0.19513834529,-5.68636259059,1.2977371186e-08,6.26868825289e-06
Dqua|LOC106743430,4411.76640761,-1.5310850465,0.270990625689,-5.64995575995,1.60489134837e-08,7.40000810814e-06
Dqua|LOC106743713,454.470840206,0.76293393653,0.13557154267,5.62753747211,1.82800460526e-08,8.06229509382e-06
Dqua|LOC106741191,5745.63119109,2.20088416478,0.395014042409,5.57166057024,2.52322657653e-08,1.06648376635e-05
Dqua|LOC106743362,195.349182407,2.15155145978,0.389114757488,5.52934942296,3.21420555439e-08,1.30419604575e-05
Dqua|LOC106745013,10144.4801897,-1.05046320666,0.191475806763,-5.48614064836,4.10809854613e-08,1.60279044815e-05
Dqua|LOC106750111,50.3500291523,2.18165221819,0.398322671768,5.47709777229,4.3235834924e-08,1.62438633137e-05
Dqua|LOC106747636,346.647524429,-1.71672736821,0.317478594354,-5.40737989502,6.39534004828e-08,2.31694033749e-05
Dqua|LOC106745634,574.940753884,-1.14182100851,0.211450227314,-5.39995167191,6.66588518629e-08,2.33168066654e-05
Dqua|LOC106746266,16984.110964,-1.24138540105,0.230524039536,-5.38505833728,7.24211556647e-08,2.44880067688e-05
Dqua|LOC106750000,114.45979219,2.12732821159,0.395620457059,5.37719466634,7.56553619969e-08,2.47563868418e-05
Dqua|LOC106751239,3154.08335717,2.05343086048,0.382878102987,5.36314520067,8.17852100282e-08,2.59259115789e-05
Dqua|LOC106750875,343.868784918,2.13121069195,0.398314882176,5.35056757183,8.76788059897e-08,2.69519335745e-05
Dqua|LOC106745283,277.28889839,1.64885303346,0.308756219168,5.3403071132,9.27892561953e-08,2.76839474954e-05
Dqua|LOC106740986,115.531906598,2.0652769599,0.390561700724,5.28796591184,1.23684019795e-07,3.58471627659e-05
Dqua|LOC106750426,2914.78709522,-1.07833933843,0.205107768592,-5.2574280625,1.46084008774e-07,4.11632273612e-05
Dqua|LOC106743171,178.565269857,1.97752795327,0.380371090691,5.19894387787,2.00424022867e-07,5.49486834585e-05
Dqua|LOC106743596,3758.00494493,1.23280166707,0.239376810823,5.1500463342,2.60422115933e-07,6.60430486007e-05
Dqua|LOC106747221,157.992749244,1.86511735614,0.36187043554,5.15410260957,2.54848376441e-07,6.60430486007e-05
Dqua|LOC106747539,1359.36789852,-0.857221725791,0.166188452874,-5.15813048961,2.49427769682e-07,6.60430486007e-05
Dqua|LOC106744203,88.5167486899,2.02370959717,0.393951996828,5.13694463658,2.79241175615e-07,6.69413909149e-05
Dqua|LOC106744551,200.68785534,1.98205456305,0.385613722991,5.14000006969,2.74738366824e-07,6.69413909149e-05
Dqua|LOC106745705,511.253282611,1.84351848115,0.359085616522,5.13392460272,2.83761810858e-07,6.69413909149e-05
Dqua|LOC106745416,7778.66066464,-1.68099057021,0.332518369013,-5.05533145491,4.29643921327e-07,9.90524531351e-05
Dqua|LOC106750583,156.880752649,1.78338344647,0.356121635791,5.00779303261,5.50576909742e-07,0.000124112270498
Dqua|LOC106745090,305.423871604,1.4859619042,0.298117379467,4.98448599963,6.2126743872e-07,0.000137002976052
Dqua|LOC106743481,5955.72006263,-0.98545386325,0.198250284569,-4.9707563618,6.66922135025e-07,0.000143941662504
Dqua|LOC106744622,58.1962130045,-1.79050071119,0.362031163065,-4.94570880592,7.58672979611e-07,0.000157060789902
Dqua|LOC106749896,767.85997211,-1.35616244774,0.27417555536,-4.94632880734,7.56261754256e-07,0.000157060789902
Dqua|LOC106749245,15483.9711446,-1.39342447999,0.282267242966,-4.93654334574,7.95193700759e-07,0.00016132889801
Dqua|LOC106745218,1248.38977726,1.87646866444,0.384002184776,4.88660934452,1.02587362937e-06,0.000204048276399
Dqua|LOC106747681,461.289736763,-1.85018230424,0.383182707559,-4.82845981235,1.37593093893e-06,0.000263347989519
Dqua|LOC106751222,91.835296548,1.92293258906,0.397967567368,4.83188266265,1.35247962236e-06,0.000263347989519
Dqua|LOC106742471,23721.2791859,0.756345157913,0.157255446904,4.80965952406,1.51187597061e-06,0.00027949582708
Dqua|LOC106745165,347.592978276,1.6348673305,0.339946262924,4.80919341911,1.51540521386e-06,0.00027949582708
Dqua|LOC106750070,2713.92233663,-0.898944614742,0.188985131872,-4.75669490948,1.96788232347e-06,0.000356467826595
Dqua|LOC106742455,20877.1978352,-1.54499066488,0.33104095909,-4.66706799401,3.05528246277e-06,0.000531622321427
Dqua|LOC106748849,3052.72829858,-0.587171221866,0.125812369711,-4.66703888667,3.05571515031e-06,0.000531622321427
Dqua|LOC106749980,29.6045693137,1.84427064499,0.395375197244,4.66460885216,3.0920462307e-06,0.000531622321427
Dqua|LOC106748669,5903.83022403,-0.957504664838,0.205465528386,-4.66017181743,3.15945537615e-06,0.000534158588927
Dqua|LOC106746644,26.1074274583,1.50629393054,0.324252893775,4.64542941469,3.39369796439e-06,0.000555252776625
Dqua|LOC106749509,4607.72717636,-0.726188075998,0.156300459262,-4.64610327715,3.38263704775e-06,0.000555252776625
Dqua|LOC106745796,7141.16982328,-1.34040004619,0.289865397437,-4.62421543946,3.76018895281e-06,0.000605450106942
Dqua|LOC106745509,302.389647199,0.581504715963,0.126182516255,4.60844127396,4.05698925356e-06,0.000643032796689
Dqua|LOC106741986,10039.1423149,-0.905966995273,0.197576965627,-4.58538773686,4.53144705545e-06,0.000696469680764
Dqua|LOC106746808,546.884680637,1.44728753676,0.315490510155,4.58742019229,4.48756889886e-06,0.000696469680764
Dqua|LOC106746283,773.740657741,-1.3987229543,0.30528948352,-4.58162835541,4.61369286324e-06,0.000698526871712
Dqua|LOC106744743,204.741658276,1.65113612452,0.361695903796,4.5649843064,4.99531708154e-06,0.000734384006886
Dqua|LOC106746480,6810.50751275,-0.642047703722,0.140643911617,-4.5650586388,4.99354739873e-06,0.000734384006886
Dqua|LOC106749458,9364.71267163,-0.972029662291,0.213210137032,-4.55902179803,5.13924374509e-06,0.000744749836432
Dqua|LOC106743732,33227.6856851,-1.12050966057,0.246119177611,-4.55271170435,5.29588239766e-06,0.000747634743561
Dqua|LOC106744402,34.4142833017,1.46274937981,0.321353413468,4.55184018126,5.31787263895e-06,0.000747634743561
Dqua|LOC106745147,163.830588791,-1.14023029683,0.250633867098,-4.54938636199,5.38025791403e-06,0.000747634743561
Dqua|LOC106744086,210.908786389,1.26238404619,0.280733455348,4.49673532721,6.90047980193e-06,0.000945925231226
Dqua|LOC106744924,1751.73825976,0.750974319862,0.168351640905,4.46074844193,8.16739153117e-06,0.00109530045976
Dqua|LOC106745944,7715.39867335,-1.68052956817,0.376822763747,-4.45973473433,8.20611543194e-06,0.00109530045976
Dqua|LOC106748119,3437.74960979,1.32518610681,0.29765717274,4.45205500884,8.50523691521e-06,0.00112048212036
Dqua|LOC106749440,536.54145447,1.64602337279,0.370928462833,4.43757634619,9.09774578884e-06,0.00118317350362
Dqua|LOC106743516,1245.64864701,0.567291126619,0.128132803393,4.42736841464,9.53897278899e-06,0.0012248524047
Dqua|LOC106746490,14.700824383,1.7543395527,0.396707532991,4.42224915537,9.76787224588e-06,0.00123856620078
Dqua|LOC106750024,48.4094889804,-1.5301113063,0.34658200861,-4.41486074952,1.0107503132e-05,0.0012658087873
Dqua|LOC106745385,1426.7167484,-1.30569794889,0.296666284139,-4.40123471622,1.07636610923e-05,0.00133154363561
Dqua|LOC106745712,15282.3049407,0.710027265606,0.161987871195,4.38321252306,1.16941931472e-05,0.00142922765404
Dqua|LOC106744386,20238.6263513,-1.05690995495,0.241625611114,-4.37416360823,1.21898934224e-05,0.00147207474853
Dqua|LOC106748654,9724.20445067,-0.918235700571,0.210147220081,-4.36948773445,1.24538334491e-05,0.00148625513539
Dqua|LOC106748134,149.589436046,1.57353549777,0.360492023112,4.36496620421,1.27142413852e-05,0.00149968912339
Dqua|LOC106752072,13249.7679659,0.658091429057,0.15089932632,4.36112900638,1.29393044016e-05,0.00150869314769
Dqua|LOC106749500,764.601616673,-0.847399513208,0.194469229624,-4.35749920358,1.31556977211e-05,0.00151649315549
Dqua|LOC106751281,11206.8017009,0.70133926574,0.161331722602,4.3471876109,1.37894263899e-05,0.0015716847337
Dqua|LOC106751238,264.441683104,1.70571794989,0.392956983411,4.34072435889,1.42013780893e-05,0.00160065310375
Dqua|LOC106747573,19198.3057434,0.81397715814,0.188378287775,4.3209712104,1.55343943105e-05,0.00173165819655
Dqua|LOC106743654,1255.6023473,0.696383350628,0.16161597886,4.3088768545,1.64085694719e-05,0.00180922313829
Dqua|LOC106742533,25258.8354286,0.696951573179,0.162095799735,4.29962759257,1.71085355211e-05,0.00186611811104
Dqua|LOC106751348,12.7164080199,1.68243111306,0.391557069857,4.29677112885,1.73303964356e-05,0.00187020788769
Dqua|LOC106747452,2806.49527747,-0.969754788991,0.225919180162,-4.29248542907,1.76684148503e-05,0.00188661473939
Dqua|LOC106746346,5163.72656816,-1.12760107677,0.262953559684,-4.2882137748,1.80115703701e-05,0.00190322260244
Dqua|LOC106746589,307.582053371,1.57673788276,0.367982217903,4.28482085831,1.82886492027e-05,0.0019125779125
Dqua|LOC106746090,3261.88221511,-0.968384778556,0.228112281439,-4.2452110533,2.183877662e-05,0.00226053622483
Dqua|LOC106747972,21.6619297014,-1.644808322,0.387787917336,-4.24151513874,2.22015911392e-05,0.00227487818703
Dqua|LOC106742612,2670.75642553,-1.03147660202,0.244203002464,-4.2238489765,2.40165018176e-05,0.00241211281622
Dqua|LOC106751023,102.827104354,1.51805922182,0.359389041698,4.22399974871,2.40004316343e-05,0.00241211281622
Dqua|LOC106741362,15299.5248137,-0.756657241968,0.179470766688,-4.21604730359,2.48621630671e-05,0.0024725664917
Dqua|LOC106749679,4201.0304369,-1.44736574763,0.343657496065,-4.211651904,2.53509989907e-05,0.00249670421128
Dqua|LOC106746932,40.2904658572,1.67215036961,0.397385681488,4.20787775582,2.57780245534e-05,0.00249740214873
Dqua|LOC106750759,1589.51520891,-0.750491818644,0.178380892431,-4.20724332307,2.58504757114e-05,0.00249740214873
Dqua|LOC106749459,5585.98212375,-0.87854634821,0.20930039601,-4.19753791659,2.6983249099e-05,0.00255922222354
Dqua|LOC106749965,2576.06281591,1.49679252605,0.356596552647,4.19743969744,2.69949505046e-05,0.00255922222354
Dqua|LOC106750118,501.211040981,1.53258709097,0.36549594955,4.19317120439,2.75081674975e-05,0.00258373010272
Dqua|LOC106747259,4035.69526702,1.25472198772,0.300129361661,4.18060392617,2.90735894865e-05,0.00270571093349
Dqua|LOC106751985,415.482581775,0.912913208876,0.218758110782,4.17316279434,3.00400136309e-05,0.00277023543883
Dqua|LOC106745290,7050.58097755,-0.759315868807,0.182600912761,-4.1583355599,3.20574877118e-05,0.00292965004818
Dqua|LOC106752193,66.0792523694,1.64854868798,0.398157175067,4.14044701743,3.46629667107e-05,0.00313947441351
Dqua|LOC106744372,113.903371099,1.64523805201,0.397742231036,4.13644296137,3.52730981303e-05,0.00316646289764
Dqua|LOC106741259,3100.56790944,-0.5748025521,0.139472947615,-4.12124761058,3.76826146725e-05,0.00335309160735
Dqua|LOC106744671,1657.34742148,-0.638836491826,0.155234779111,-4.11529230424,3.86689059384e-05,0.00341093375512
Dqua|LOC106744353,12.3412324915,1.50322067354,0.36651873105,4.10134747884,4.10751207834e-05,0.00359194849333
Dqua|LOC106750400,131.452429039,1.30823706083,0.319269626621,4.09759323078,4.17468047273e-05,0.00361948365089
Dqua|LOC106747296,20.864196857,1.53019199751,0.373870007472,4.09284501813,4.26112538427e-05,0.00366312338119
Dqua|LOC106743298,7510.74589337,-0.925606908786,0.226499735566,-4.08656948968,4.37798401304e-05,0.00373195544775
Dqua|LOC106741601,268.339332522,-0.883099354362,0.216605351567,-4.07699693462,4.5621093982e-05,0.00385650314461
Dqua|LOC106745036,3036.99502075,1.42829461671,0.351206660336,4.06682098609,4.76588247203e-05,0.00396271408166
Dqua|LOC106749601,41.4641554319,1.32103015595,0.324740639511,4.06795453116,4.74276327524e-05,0.00396271408166
Dqua|LOC106741756,1242.99063859,-1.37891473882,0.33951501472,-4.06142491211,4.87741060959e-05,0.00398491219339
Dqua|LOC106742846,633.987297513,0.562486942122,0.138612245083,4.05798882908,4.94971348942e-05,0.00398491219339
Dqua|LOC106744549,4181.04644688,1.49948973224,0.369504831621,4.05810588636,4.94723371398e-05,0.00398491219339
Dqua|LOC106750733,382.893476613,1.03451247047,0.254873364503,4.05892735198,4.92986464837e-05,0.00398491219339
Dqua|LOC106744096,324.251017513,1.57051074273,0.387468560163,4.05325981049,5.05088547449e-05,0.00403434505931
