,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hsal|LOC105183345,18.4879152408,2.01690352066,0.359768691233,-5.60611184299,2.069222786e-08,0.000114039016225
Hsal|LOC105186969,249.68200594,-1.71964336222,0.308153273199,5.58048059773,2.39854908456e-08,0.000114039016225
Hsal|LOC105192378,179.550384881,-1.45203506622,0.268928748403,5.39933002643,6.68902243642e-08,0.000212019714493
Hsal|LOC105191954,842.95917376,-1.57228889998,0.300540718348,5.23153371238,1.6810936785e-07,0.000399637994721
Hsal|LOC105182650,31.6652772829,1.88708772349,0.363711392472,-5.18842071638,2.12085021582e-07,0.000403343294045
Hsal|LOC105181725,552.027907423,-1.46474567697,0.291099813508,5.03176439489,4.85986289396e-07,0.000770207270978
Hsal|LOC105181835,42.539147706,-1.66666128386,0.367643918861,4.53335741015,5.80534605962e-06,0.00429189147824
Hsal|LOC105184868,3662.23804991,-0.497733265843,0.108480435349,4.58823071868,4.47018443064e-06,0.00429189147824
Hsal|LOC105186083,105.686270766,-1.39574309808,0.301125475609,4.63508806504,3.5678555397e-06,0.00429189147824
Hsal|LOC105186804,145.738107619,0.751433709257,0.165254059185,-4.54714221824,5.4379253909e-06,0.00429189147824
Hsal|LOC105186861,162.748444186,-1.45606215053,0.321348033647,4.53110645803,5.86755591725e-06,0.00429189147824
Hsal|LOC105189180,31.6890481966,-1.30002725431,0.282519483175,4.60154903193,4.19360407643e-06,0.00429189147824
Hsal|LOC105189736,69.5604788309,0.708334704382,0.154920641456,-4.57224226367,4.8253257287e-06,0.00429189147824
Hsal|LOC105186171,3488.24687055,-0.612008340027,0.135749361004,4.50836995107,6.53275926493e-06,0.00443714341787
Hsal|LOC105188005,214.310645106,-0.827754075745,0.186113767843,4.44757035087,8.68470201329e-06,0.00550552209629
Hsal|LOC105187917,290.87726343,-1.61225693388,0.368788470542,4.37176610079,1.23245519795e-05,0.00732463529833
Hsal|LOC105187328,239.828624217,-1.41075604979,0.326801954464,4.31685315991,1.5826936916e-05,0.00885284371379
Hsal|LOC105186321,44.5520640137,0.88793686004,0.206764307408,-4.29443974723,1.75135035271e-05,0.0089749398246
Hsal|LOC105189469,80.7496706445,-1.06472325593,0.248234322683,4.28918629956,1.79328905949e-05,0.0089749398246
Hsal|LOC105192299,58.4475617963,-1.23471407181,0.294312373617,4.19525029355,2.7257042658e-05,0.0129593609317
Hsal|LOC105181717,23.8001619991,-1.30102316338,0.312081581786,4.16885596366,3.06132364762e-05,0.0134355805587
